종목명,시가총액
삼성전자,11046044
SK하이닉스,6628132
삼성전자우,1069743
현대차,994611
LG에너지솔루션,833040
SK스퀘어,735725
삼성바이오로직스,705937
한화에어로스페이스,659496
두산에너빌리티,645045
기아,631688
KB금융,541379
HD현대중공업,530054
삼성물산,466586
삼성생명,435000
셀트리온,434602
신한지주,426240
한화오션,365245
현대모비스,344784
미래에셋증권,343741
NAVER,327822
HD현대일렉트릭,325866
삼성전기,319316
고려아연,308085
삼성SDI,303405
하나금융지주,294747
한국전력,292736
한미반도체,283554
POSCO홀딩스,263032
HD한국조선해양,259030
LS ELECTRIC,247200
효성중공업,242531
SK,238534
한화시스템,233693
우리금융지주,232702
삼성중공업,229680
삼성화재,209581
카카오,207879
LG화학,204718
HD현대,189583
HMM,186950
현대로템,183796
기업은행,183408
LG전자,178361
SK이노베이션,178351
메리츠금융지주,177113
KT&G,173620
두산,173112
현대건설,171377
KODEX 200,171161
포스코퓨처엠,165707
한국항공우주,165415
현대글로비스,161625
SK텔레콤,159374
TIGER 미국S&P500,146447
KT,144408
LIG넥스원,141020
포스코인터내셔널,135109
LG,133402
삼성에피스홀딩스,127401
하이브,125220
DB손해보험,122671
에이피알,121300
S-Oil,119225
삼성에스디에스,117769
한국금융지주,117303
NH투자증권,116346
키움증권,112380
카카오뱅크,112105
현대오토에버,108873
크래프톤,108794
대한항공,89478
현대차2우B,86536
삼양식품,85500
LS,85488
이수페타시스,84934
삼성증권,84031
KODEX CD금리액티브(합성),81740
한화,81405
한화솔루션,80446
카카오페이,80323
TIGER 반도체TOP10,79237
아모레퍼시픽,79082
한진칼,78913
KODEX 미국S&P500,78694
TIGER 미국나스닥100,78412
HD현대마린솔루션,76124
KODEX 머니마켓액티브,75174
유한양행,74470
TIGER 200,72185
SK바이오팜,71500
삼성E&A,71148
대우건설,71071
KODEX 코스닥150,69205
LG이노텍,68635
삼성카드,68357
한국타이어앤테크놀로지,67016
LG유플러스,64990
한미약품,64055
HD건설기계,61839
한전기술,61534
